Date,Open,High,Low,Close,Adj Close,Volume
1/1/17,0.006523,0.00716,0.006031,0.006314,0.006314,39156759
2/1/17,0.006311,0.007833,0.005427,0.005536,0.005536,23637113
3/1/17,0.005525,0.021776,0.005372,0.020889,0.020889,220573420
4/1/17,0.021743,0.071441,0.019664,0.051607,0.051607,1109643776
5/1/17,0.05158,0.43517,0.049317,0.24659,0.24659,5788513336
6/1/17,0.243946,0.339533,0.240868,0.26293,0.26293,6264710696
7/1/17,0.262855,0.263053,0.11977,0.167386,0.167386,3796232804
8/1/17,0.168024,0.297662,0.152305,0.25563,0.25563,9021628896
9/1/17,0.255803,0.256162,0.150973,0.197529,0.197529,3693570804
10/1/17,0.197622,0.291359,0.190455,0.200558,0.200558,6810508852
11/1/17,0.200247,0.301084,0.183815,0.250878,0.250878,7053153144
12/1/17,0.250352,2.85453,0.22134,2.30057,2.30057,60433139712
1/1/18,2.29602,3.84194,0.897797,1.16239,1.16239,1.05603E+11
2/1/18,1.16088,1.30059,0.58836,0.904583,0.904583,36939665216
3/1/18,0.904131,1.08021,0.484362,0.512353,0.512353,17449674064
4/1/18,0.513854,0.96561,0.465615,0.837938,0.837938,22228505040
5/1/18,0.838355,0.927695,0.551635,0.612622,0.612622,14500476976
6/1/18,0.612893,0.703623,0.427302,0.466245,0.466245,8655380016
7/1/18,0.465944,0.51956,0.427753,0.435225,0.435225,7476793048
8/1/18,0.435562,0.459134,0.253983,0.335332,0.335332,8367297000
9/1/18,0.335313,0.76938,0.255756,0.581572,0.581572,22440748000
10/1/18,0.583511,0.602337,0.378914,0.448382,0.448382,15459518000
11/1/18,0.44862,0.560547,0.324953,0.362455,0.362455,21368949729
12/1/18,0.362557,0.448477,0.282523,0.352706,0.352706,17988339238
1/1/19,0.352512,0.381949,0.285888,0.310036,0.310036,14662353948
2/1/19,0.310839,0.343676,0.290119,0.315078,0.315078,16987628276
3/1/19,0.315066,0.326784,0.298987,0.309229,0.309229,21925414930
4/1/19,0.309195,0.374064,0.287485,0.309476,0.309476,37521700569
5/1/19,0.30949,0.474619,0.294114,0.438574,0.438574,66586697273
6/1/19,0.438711,0.505467,0.379967,0.396411,0.396411,55466087196
7/1/19,0.3959,0.417618,0.291294,0.320909,0.320909,42214767349
8/1/19,0.320734,0.331414,0.249951,0.259204,0.259204,32794693243
9/1/19,0.259171,0.322034,0.227052,0.255933,0.255933,38481735271
10/1/19,0.256213,0.31029,0.244366,0.296358,0.296358,51233021096
11/1/19,0.296389,0.313278,0.207013,0.226474,0.226474,54964061382
12/1/19,0.226466,0.233737,0.178485,0.192894,0.192894,40316503335
1/1/20,0.192912,0.251187,0.185846,0.239233,0.239233,54593441850
2/1/20,0.239191,0.343972,0.226173,0.231193,0.231193,87190811881
3/1/20,0.231105,0.24592,0.115093,0.174563,0.174563,75868716576
4/1/20,0.174315,0.235703,0.169134,0.212761,0.212761,61696848910
5/1/20,0.212858,0.22634,0.188483,0.202906,0.202906,61956266331
6/1/20,0.202834,0.214335,0.174489,0.17587,0.17587,35578383227
7/1/20,0.17575,0.259601,0.174234,0.258904,0.258904,38625961278
8/1/20,0.258904,0.324403,0.255844,0.281766,0.281766,65782526471
9/1/20,0.281612,0.303214,0.220625,0.242311,0.242311,42008569933
10/1/20,0.242368,0.263463,0.230124,0.239744,0.239744,54258339507
11/1/20,0.239739,0.768019,0.228772,0.664337,0.664337,2.77582E+11
12/1/20,0.664515,0.679158,0.174831,0.219846,0.219846,3.57939E+11
1/1/21,0.219845,0.499702,0.215816,0.492314,0.492314,2.12706E+11
2/1/21,0.492512,0.744821,0.344269,0.414953,0.414953,2.93948E+11
3/1/21,0.415109,0.602618,0.413587,0.573869,0.573869,1.34192E+11
4/1/21,0.573959,1.964997,0.559002,1.591674,1.591674,4.81625E+11
5/1/21,1.598409,1.75882,0.652254,1.046584,1.046584,3.07291E+11
6/1/21,1.042102,1.099639,0.51271,0.706374,0.706374,98957227517
7/1/21,0.704785,0.768149,0.51791,0.747786,0.747786,73024306974
8/1/21,0.745941,1.349174,0.697836,1.187593,1.187593,1.66788E+11
9/1/21,1.186915,1.413767,0.838255,0.952636,0.952636,1.34595E+11
10/1/21,0.953764,1.227663,0.945355,1.113247,1.113247,1.16605E+11
11/1/21,1.113153,1.347662,0.896573,0.998754,0.998754,1.13673E+11
